slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
ducking-legover,Ducking Legover,Ducking Legover,#ducking_legover,stanford_only_unpublished,,,,,,missing,,,,Z^-0+Z,Z^-0+Z,"[""toe-set"", ""duck"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-mirage,Ducking Mirage,Ducking Mirage,#ducking_mirage,stanford_only_unpublished,,,,,,missing,,,,Z^-1-Z,Z^-1-Z,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-paradox-drifter,Ducking Paradox Drifter,Ducking Paradox Drifter,#ducking_paradox_drifter,stanford_only_unpublished,,,,,,missing,,,,X^+1+X,X^+1+X,"[""clipper-set"", ""duck"", ""same-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-paradox-flail,Ducking Paradox Flail,Ducking Paradox Flail,#ducking_paradox_flail,stanford_only_unpublished,,,,,,missing,,,,X^+!0-Z,X^+!0-Z,"[""clipper-set"", ""duck"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-paradox-mirage,Ducking Paradox Mirage,Ducking Paradox Mirage,#ducking_paradox_mirage,stanford_only_unpublished,,,,,,missing,,,,X^+1-Z,X^+1-Z,"[""clipper-set"", ""duck"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-pickup,Ducking Pickup,Ducking Pickup,#ducking_pickup,stanford_only_unpublished,,,,,,missing,,,,Z^-1+Z,Z^-1+Z,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-ps-mirage,Ducking PS Mirage,Ducking PS Mirage,#ducking_ps_mirage,stanford_only_unpublished,,,,,,missing,,,,X^+!1-Z,X^+!1-Z,"[""clipper-set"", ""duck"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-reverse-guay,Ducking Reverse Guay,Ducking Reverse Guay,#ducking_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z^-0+L,Z^-0+L,"[""toe-set"", ""duck"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-symposium-mirage,Ducking Symposium Mirage,Ducking Symposium Mirage,#ducking_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z^-!1-Z,Z^-!1-Z,"[""toe-set"", ""duck"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
ducking-toe-stall,Ducking Toe Stall,Ducking Toe Stall,#ducking_toe_stall,stanford_only_unpublished,,,,,,missing,,,,*^-Z,*^-Z,"[""any-set"", ""duck"", ""opposite-side"", ""toe-set""]",true,,,2,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-barrage,Fairy Barrage,Fairy Barrage,#fairy_barrage,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1+1-Z,Z+0.-1+1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-blender,Fairy Blender,Fairy Blender,#fairy_blender,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1\+X,Z+0.-1\+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-butterfly,Fairy Butterfly,Fairy Butterfly,#fairy_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0-X,Z+0.-0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-butterfly-swirl,Fairy Butterfly Swirl,Fairy Butterfly Swirl,#fairy_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0-6+X,Z+0.-0-6+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-clipper,Fairy Clipper,Fairy Clipper,#fairy_clipper,stanford_only_unpublished,,,,,,missing,,,,Z+0.+X,Z+0.+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""same-side"", ""clipper-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-diving-butterfly,Fairy Diving Butterfly,Fairy Diving Butterfly,#fairy_diving_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z+0&+0-X,Z+0&+0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""dive"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-dlo,Fairy DLO,Fairy DLO,#fairy_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1-0+Z,Z+0.-1-0+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-dod,Fairy DOD,Fairy DOD,#fairy_dod,stanford_only_unpublished,,,,,,missing,,,,Z+0_.+0+0-X,Z+0_.+0+0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-double-pickup,Fairy Double Pickup,Fairy Double Pickup,#fairy_double_pickup,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1+1+Z,Z+0.-1+1+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-drifter,Fairy Drifter,Fairy Drifter,#fairy_drifter,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1+X,Z+0.-1+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-blender,Fairy Ducking Blender,Fairy Ducking Blender,#fairy_ducking_blender,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1\+X,Z+0^-1\+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-butterfly,Fairy Ducking Butterfly,Fairy Ducking Butterfly,#fairy_ducking_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z+0^-0-X,Z+0^-0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-clipper,Fairy Ducking Clipper,Fairy Ducking Clipper,#fairy_ducking_clipper,stanford_only_unpublished,,,,,,missing,,,,Z+0^+X,Z+0^+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-dlo,Fairy Ducking DLO,Fairy Ducking DLO,#fairy_ducking_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1-0+Z,Z+0^-1-0+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-drifter,Fairy Ducking Drifter,Fairy Ducking Drifter,#fairy_ducking_drifter,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1+X,Z+0^-1+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-mirage,Fairy Ducking Mirage,Fairy Ducking Mirage,#fairy_ducking_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1-Z,Z+0^-1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-osis,Fairy Ducking Osis,Fairy Ducking Osis,#fairy_ducking_osis,stanford_only_unpublished,,,,,,missing,,,,Z+0^\-X,Z+0^\-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-torque,Fairy Ducking Torque,Fairy Ducking Torque,#fairy_ducking_torque,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1/-X,Z+0^-1/-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-ducking-whirl,Fairy Ducking Whirl,Fairy Ducking Whirl,#fairy_ducking_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+0^-1-X,Z+0^-1-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-dyno,Fairy Dyno,Fairy Dyno,#fairy_dyno,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0\+X,Z+0.-0\+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-eclipse,Fairy Eclipse,Fairy Eclipse,#fairy_eclipse,stanford_only_unpublished,,,,,,missing,,,,Z+0.-!L-0_,Z+0.-!L-0_,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""no-plant-while"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""plant""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-eggbeater,Fairy Eggbeater,Fairy Eggbeater,#fairy_eggbeater,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0-0+Z,Z+0.-0-0+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-flail,Fairy Flail,Fairy Flail,#fairy_flail,stanford_only_unpublished,,,,,,missing,,,,Z+0.-!0-Z,Z+0.-!0-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-guay,Fairy Guay,Fairy Guay,#fairy_guay,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1+L,Z+0.-1+L,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-barrage,Fairy Gyro Barrage,Fairy Gyro Barrage,#fairy_gyro_barrage,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1+1-Z,Z+0.\-1+1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-butterfly,Fairy Gyro Butterfly,Fairy Gyro Butterfly,#fairy_gyro_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-0-X,Z+0.\-0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-dlo,Fairy Gyro DLO,Fairy Gyro DLO,#fairy_gyro_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1-0+Z,Z+0.\-1-0+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-drifter,Fairy Gyro Drifter,Fairy Gyro Drifter,#fairy_gyro_drifter,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1+X,Z+0.\-1+X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-mirage,Fairy Gyro Mirage,Fairy Gyro Mirage,#fairy_gyro_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1-Z,Z+0.\-1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-symposium-mirage,Fairy Gyro Symposium Mirage,Fairy Gyro Symposium Mirage,#fairy_gyro_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-!1-Z,Z+0.\-!1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-symposium-torque,Fairy Gyro Symposium Torque,Fairy Gyro Symposium Torque,#fairy_gyro_symposium_torque,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-!1/-X,Z+0.\-!1/-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-torque,Fairy Gyro Torque,Fairy Gyro Torque,#fairy_gyro_torque,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1/-X,Z+0.\-1/-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-gyro-whirl,Fairy Gyro Whirl,Fairy Gyro Whirl,#fairy_gyro_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+0.\-1-X,Z+0.\-1-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-illusion,Fairy Illusion,Fairy Illusion,#fairy_illusion,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0-Z,Z+0.-0-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-legover,Fairy Legover,Fairy Legover,#fairy_legover,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0+Z,Z+0.-0+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-mirage,Fairy Mirage,Fairy Mirage,#fairy_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1-Z,Z+0.-1-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-osis,Fairy Osis,Fairy Osis,#fairy_osis,stanford_only_unpublished,,,,,,missing,,,,Z+0./-X,Z+0./-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-paradon,Fairy Paradon,Fairy Paradon,#fairy_paradon,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0+0-X,Z+0.-0+0-X,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-pickup,Fairy Pickup,Fairy Pickup,#fairy_pickup,stanford_only_unpublished,,,,,,missing,,,,Z+0.-1+Z,Z+0.-1+Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
fairy-reverse-guay,Fairy Reverse Guay,Fairy Reverse Guay,#fairy_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z+0.-0+L,Z+0.-0+L,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
